team,highscore,lowscore,highest_rank,lowest_rank,weeks_first,weeks_top3,largest_gain,largest_loss
Portugal,1824,1470,1,41,8,19,69,-70
Kolumbien,1591,1458,4,40,0,0,55,-91
Marokko,1725,1500,2,18,0,14,52,-52
Mexiko,1646,1500,3,16,0,1,55,-43
Brasilien,1864,1426,1,50,13,29,54,-63
Niederlande,1627,1493,1,24,1,8,52,-42
Argentinien,1607,1428,7,45,0,0,71,-39
Deutschland,1713,1500,1,8,4,14,52,-63
England,1748,1500,1,22,14,19,53,-71
Italien,1591,1498,6,27,0,0,39,-55
Frankreich,1771,1449,2,46,0,9,51,-48
Spanien,1762,1493,2,35,0,4,63,-54
Belgien,1598,1466,8,36,0,0,45,-47
Schweiz,1646,1448,3,51,0,3,56,-52
Österreich,1531,1461,17,37,0,0,53,-56
Kroatien,1557,1398,10,49,0,0,64,-45
Dänemark,1595,1465,5,31,0,0,60,-54
Schweden,1560,1474,5,38,0,0,40,-36
Polen,1560,1497,11,34,0,0,43,-33
USA,1530,1322,9,50,0,0,70,-52
Kanada,1500,1347,20,50,0,0,10,-45
Australien,1500,1304,22,52,0,0,46,-37
Neuseeland,1500,1267,43,52,0,0,41,-51
Japan,1545,1341,4,50,0,0,45,-56
Republik Korea,1500,1338,35,51,0,0,43,-70
IR Iran,1564,1412,12,43,0,0,30,-64
Saudi Arabien,1500,1435,22,44,0,0,42,-42
Ägypten,1540,1456,13,33,0,0,36,-47
Tunesien,1500,1431,24,43,0,0,0,-30
Algerien,1500,1374,36,50,0,0,48,-40
Senegal,1505,1318,19,51,0,0,91,-45
Ghana,1627,1470,5,46,0,0,36,-30
Elfenbeinküste,1500,1379,40,52,0,0,37,-46
Uruguay,1760,1497,1,38,2,5,70,-69
Ecuador,1501,1419,15,47,0,0,45,-45
Venezuela,1533,1464,16,38,0,0,38,-36
Trinidad und Tobago,1526,1450,10,46,0,0,26,-53
Kamerun,1500,1355,37,52,0,0,65,-52
Nigeria,1504,1430,19,47,0,0,56,-41
Mali,1500,1483,23,31,0,0,0,-14
Costa Rica,1572,1449,5,42,0,0,36,-43
Jamaika,1500,1430,27,46,0,0,1,-48
Chile,1530,1422,12,46,0,0,36,-44
Peru,1534,1478,14,33,0,0,28,-30
Bosnien und Herzegowina,1503,1470,13,48,0,0,29,-30
Russland,1582,1473,3,36,0,1,41,-52
Nordirland,1531,1421,17,43,0,0,38,-55
Serbien,1562,1367,6,46,0,0,37,-62
Wales,1573,1393,9,45,0,0,26,-58
Ukraine,1500,1413,30,46,0,0,0,-31
Griechenland,1500,1459,25,38,0,0,0,-41
Schottland,1598,1440,7,49,0,0,58,-65
